timestamp,pod,cpu(millicores),memory(bytes),%cpu,num_pods
2025-04-16 03:17:37,nginx-basic-76dd66bf4f-tzn8b,0,15Mi,0,1
2025-04-16 03:17:47,nginx-basic-76dd66bf4f-tzn8b,10,16Mi,10.00,1
2025-04-16 03:17:57,nginx-basic-76dd66bf4f-tzn8b,10,16Mi,10.00,1
2025-04-16 03:18:08,nginx-basic-76dd66bf4f-tzn8b,24,16Mi,24.00,1
2025-04-16 03:18:18,nginx-basic-76dd66bf4f-tzn8b,39,16Mi,39.00,1
2025-04-16 03:18:28,nginx-basic-76dd66bf4f-tzn8b,39,16Mi,39.00,1
2025-04-16 03:18:38,nginx-basic-76dd66bf4f-tzn8b,60,17Mi,60.00,1
2025-04-16 03:18:48,nginx-basic-76dd66bf4f-tzn8b,65,17Mi,65.00,1
2025-04-16 03:18:58,nginx-basic-76dd66bf4f-tzn8b,65,17Mi,65.00,1
2025-04-16 03:19:08,nginx-basic-76dd66bf4f-tzn8b,43,16Mi,43.00,1
2025-04-16 03:19:18,nginx-basic-76dd66bf4f-tzn8b,41,17Mi,41.00,1
2025-04-16 03:19:28,nginx-basic-76dd66bf4f-tzn8b,41,17Mi,41.00,1
2025-04-16 03:19:39,nginx-basic-76dd66bf4f-tzn8b,47,16Mi,47.00,1
2025-04-16 03:19:49,nginx-basic-76dd66bf4f-tzn8b,68,17Mi,68.00,1
2025-04-16 03:19:59,nginx-basic-76dd66bf4f-tzn8b,68,17Mi,68.00,1
2025-04-16 03:20:09,nginx-basic-76dd66bf4f-tzn8b,68,16Mi,68.00,1
2025-04-16 03:20:19,nginx-basic-76dd66bf4f-tzn8b,65,16Mi,65.00,1
2025-04-16 03:20:29,nginx-basic-76dd66bf4f-tzn8b,65,16Mi,65.00,1
2025-04-16 03:20:39,nginx-basic-76dd66bf4f-tzn8b,54,16Mi,54.00,1
2025-04-16 03:20:49,nginx-basic-76dd66bf4f-tzn8b,42,16Mi,42.00,1
2025-04-16 03:20:59,nginx-basic-76dd66bf4f-tzn8b,42,16Mi,42.00,1
2025-04-16 03:21:09,nginx-basic-76dd66bf4f-tzn8b,32,16Mi,32.00,1
2025-04-16 03:21:20,nginx-basic-76dd66bf4f-tzn8b,20,16Mi,20.00,1
2025-04-16 03:21:30,nginx-basic-76dd66bf4f-tzn8b,20,16Mi,20.00,1
2025-04-16 03:21:40,nginx-basic-76dd66bf4f-tzn8b,8,16Mi,8.00,1
2025-04-16 03:21:50,nginx-basic-76dd66bf4f-tzn8b,1,16Mi,1.00,1
2025-04-16 03:22:00,nginx-basic-76dd66bf4f-tzn8b,1,16Mi,1.00,1
