[2025-04-22 15:43:46] 43m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 15:43:46] 26m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-fs2zd          Stopping container nginx
[2025-04-22 15:43:46] 21m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 15:43:46] 21m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-rbs25
[2025-04-22 15:43:46] 21m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-rbs25          Successfully assigned default/nginx-basic-76dd66bf4f-rbs25 to worker7
[2025-04-22 15:43:46] 21m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-rbs25          Pulling image "nginx:latest"
[2025-04-22 15:43:46] 21m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-rbs25          Successfully pulled image "nginx:latest" in 849ms (849ms including waiting). Image size: 72403299 bytes.
[2025-04-22 15:43:46] 21m         Normal    Created                        pod/nginx-basic-76dd66bf4f-rbs25          Created container nginx
[2025-04-22 15:43:46] 21m         Normal    Started                        pod/nginx-basic-76dd66bf4f-rbs25          Started container nginx
[2025-04-22 15:43:46] 20m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 15:43:46] 20m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 15:43:46] 5m31s       Normal    Killing                        pod/nginx-basic-76dd66bf4f-rbs25          Stopping container nginx
[2025-04-22 15:43:46] 31s         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
