[2025-04-22 12:31:15] 43m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-vd8tc          Successfully pulled image "nginx:latest" in 680ms (680ms including waiting). Image size: 72403299 bytes.
[2025-04-22 12:31:15] 43m         Normal    Started                        pod/nginx-basic-76dd66bf4f-vd8tc          Started container nginx
[2025-04-22 12:31:15] 43m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 12:31:15] 43m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 12:31:15] 29m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-vd8tc          Stopping container nginx
[2025-04-22 12:31:15] 24m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-wq8gg
[2025-04-22 12:31:15] 24m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-wq8gg          Successfully assigned default/nginx-basic-76dd66bf4f-wq8gg to worker7
[2025-04-22 12:31:15] 24m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-wq8gg          Pulling image "nginx:latest"
[2025-04-22 12:31:15] 24m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 12:31:15] 24m         Normal    Started                        pod/nginx-basic-76dd66bf4f-wq8gg          Started container nginx
[2025-04-22 12:31:15] 24m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-wq8gg          Successfully pulled image "nginx:latest" in 832ms (832ms including waiting). Image size: 72403299 bytes.
[2025-04-22 12:31:15] 24m         Normal    Created                        pod/nginx-basic-76dd66bf4f-wq8gg          Created container nginx
[2025-04-22 12:31:15] 24m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 12:31:15] 24m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 12:31:15] 5m41s       Normal    Killing                        pod/nginx-basic-76dd66bf4f-wq8gg          Stopping container nginx
[2025-04-22 12:31:15] 41s         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-mn8lm
[2025-04-22 12:31:15] 40s         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-mn8lm          Successfully assigned default/nginx-basic-76dd66bf4f-mn8lm to worker7
[2025-04-22 12:31:15] 41s         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 12:31:15] 40s         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-mn8lm          Successfully pulled image "nginx:latest" in 684ms (684ms including waiting). Image size: 72403299 bytes.
[2025-04-22 12:31:15] 40s         Normal    Created                        pod/nginx-basic-76dd66bf4f-mn8lm          Created container nginx
[2025-04-22 12:31:15] 40s         Normal    Started                        pod/nginx-basic-76dd66bf4f-mn8lm          Started container nginx
[2025-04-22 12:31:15] 40s         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-mn8lm          Pulling image "nginx:latest"
[2025-04-22 12:31:15] 26s         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 12:31:15] 26s         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 12:31:15] 11s         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 12:31:15] 11s         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 12:31:25] 49m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-4wxbh          Stopping container nginx
[2025-04-22 12:31:25] 43m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-vd8tc          Successfully assigned default/nginx-basic-76dd66bf4f-vd8tc to worker7
[2025-04-22 12:31:25] 44m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-vd8tc
[2025-04-22 12:31:25] 44m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 12:31:25] 44m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-vd8tc          Pulling image "nginx:latest"
[2025-04-22 12:31:25] 43m         Normal    Created                        pod/nginx-basic-76dd66bf4f-vd8tc          Created container nginx
[2025-04-22 12:31:25] 43m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-vd8tc          Successfully pulled image "nginx:latest" in 680ms (680ms including waiting). Image size: 72403299 bytes.
[2025-04-22 12:31:25] 43m         Normal    Started                        pod/nginx-basic-76dd66bf4f-vd8tc          Started container nginx
[2025-04-22 12:31:25] 43m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 12:31:25] 43m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 12:31:25] 29m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-vd8tc          Stopping container nginx
[2025-04-22 12:31:25] 24m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-wq8gg
[2025-04-22 12:31:25] 24m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-wq8gg          Successfully assigned default/nginx-basic-76dd66bf4f-wq8gg to worker7
[2025-04-22 12:31:25] 24m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-wq8gg          Pulling image "nginx:latest"
