timestamp,pod,cpu(millicores),memory(bytes),%cpu,num_pods
2025-04-15 22:25:38,nginx-basic-76dd66bf4f-fd9lz,0,15Mi,0,1
2025-04-15 22:25:48,nginx-basic-76dd66bf4f-fd9lz,3,15Mi,3.00,1
2025-04-15 22:25:58,nginx-basic-76dd66bf4f-fd9lz,3,15Mi,3.00,1
2025-04-15 22:26:08,nginx-basic-76dd66bf4f-fd9lz,7,15Mi,7.00,1
2025-04-15 22:26:18,nginx-basic-76dd66bf4f-fd9lz,11,16Mi,11.00,1
2025-04-15 22:26:28,nginx-basic-76dd66bf4f-fd9lz,11,16Mi,11.00,1
2025-04-15 22:26:38,nginx-basic-76dd66bf4f-fd9lz,15,16Mi,15.00,1
2025-04-15 22:26:48,nginx-basic-76dd66bf4f-fd9lz,20,16Mi,20.00,1
2025-04-15 22:26:58,nginx-basic-76dd66bf4f-fd9lz,20,16Mi,20.00,1
2025-04-15 22:27:09,nginx-basic-76dd66bf4f-fd9lz,27,16Mi,27.00,1
2025-04-15 22:27:19,nginx-basic-76dd66bf4f-fd9lz,32,16Mi,32.00,1
2025-04-15 22:27:29,nginx-basic-76dd66bf4f-fd9lz,32,16Mi,32.00,1
2025-04-15 22:27:39,nginx-basic-76dd66bf4f-fd9lz,37,16Mi,37.00,1
2025-04-15 22:27:49,nginx-basic-76dd66bf4f-fd9lz,40,16Mi,40.00,1
2025-04-15 22:27:59,nginx-basic-76dd66bf4f-fd9lz,40,16Mi,40.00,1
2025-04-15 22:28:09,nginx-basic-76dd66bf4f-fd9lz,48,16Mi,48.00,1
2025-04-15 22:28:19,nginx-basic-76dd66bf4f-fd9lz,53,16Mi,53.00,1
2025-04-15 22:28:29,nginx-basic-76dd66bf4f-fd9lz,53,16Mi,53.00,1
2025-04-15 22:28:39,nginx-basic-76dd66bf4f-fd9lz,68,16Mi,68.00,1
2025-04-15 22:28:50,nginx-basic-76dd66bf4f-fd9lz,72,16Mi,72.00,1
2025-04-15 22:29:00,nginx-basic-76dd66bf4f-fd9lz,72,16Mi,72.00,1
2025-04-15 22:29:10,nginx-basic-76dd66bf4f-fd9lz,66,16Mi,66.00,1
2025-04-15 22:29:20,nginx-basic-76dd66bf4f-fd9lz,57,16Mi,57.00,1
2025-04-15 22:29:30,nginx-basic-76dd66bf4f-fd9lz,57,16Mi,57.00,1
2025-04-15 22:29:40,nginx-basic-76dd66bf4f-fd9lz,45,16Mi,45.00,1
2025-04-15 22:29:50,nginx-basic-76dd66bf4f-fd9lz,37,17Mi,37.00,1
2025-04-15 22:30:00,nginx-basic-76dd66bf4f-fd9lz,37,17Mi,37.00,1
2025-04-15 22:30:10,nginx-basic-76dd66bf4f-fd9lz,29,16Mi,29.00,1
2025-04-15 22:30:21,nginx-basic-76dd66bf4f-fd9lz,20,16Mi,20.00,1
2025-04-15 22:30:31,nginx-basic-76dd66bf4f-fd9lz,20,16Mi,20.00,1
2025-04-15 22:30:41,nginx-basic-76dd66bf4f-fd9lz,8,16Mi,8.00,1
2025-04-15 22:30:51,nginx-basic-76dd66bf4f-fd9lz,1,16Mi,1.00,1
2025-04-15 22:31:01,nginx-basic-76dd66bf4f-fd9lz,1,16Mi,1.00,1
