timestamp,pod,cpu(millicores),memory(bytes),%cpu,num_pods
2025-04-15 23:19:07,nginx-basic-76dd66bf4f-n4dgm,0,15Mi,0,1
2025-04-15 23:19:17,nginx-basic-76dd66bf4f-n4dgm,1,15Mi,1.00,1
2025-04-15 23:19:28,nginx-basic-76dd66bf4f-n4dgm,1,15Mi,1.00,1
2025-04-15 23:19:38,nginx-basic-76dd66bf4f-n4dgm,1,15Mi,1.00,1
2025-04-15 23:19:48,nginx-basic-76dd66bf4f-n4dgm,23,16Mi,23.00,1
2025-04-15 23:19:58,nginx-basic-76dd66bf4f-n4dgm,23,16Mi,23.00,4
2025-04-15 23:20:08,nginx-basic-76dd66bf4f-n4dgm,53,16Mi,53.00,5
2025-04-15 23:20:18,nginx-basic-76dd66bf4f-2rgdj,8,15Mi,8.00,5
2025-04-15 23:20:18,nginx-basic-76dd66bf4f-h6p26,6,15Mi,6.00,5
2025-04-15 23:20:18,nginx-basic-76dd66bf4f-n4dgm,66,16Mi,66.00,5
2025-04-15 23:20:18,nginx-basic-76dd66bf4f-sd6cl,7,15Mi,7.00,5
2025-04-15 23:20:28,nginx-basic-76dd66bf4f-2rgdj,8,15Mi,8.00,5
2025-04-15 23:20:28,nginx-basic-76dd66bf4f-h6p26,6,15Mi,6.00,5
2025-04-15 23:20:28,nginx-basic-76dd66bf4f-n4dgm,66,16Mi,66.00,5
2025-04-15 23:20:28,nginx-basic-76dd66bf4f-sd6cl,7,15Mi,7.00,5
2025-04-15 23:20:39,nginx-basic-76dd66bf4f-2rgdj,8,16Mi,8.00,5
2025-04-15 23:20:39,nginx-basic-76dd66bf4f-h6p26,7,15Mi,7.00,5
2025-04-15 23:20:39,nginx-basic-76dd66bf4f-n4dgm,73,16Mi,73.00,5
2025-04-15 23:20:39,nginx-basic-76dd66bf4f-sd6cl,8,16Mi,8.00,5
2025-04-15 23:20:39,nginx-basic-76dd66bf4f-x6gfp,0,15Mi,0,5
2025-04-15 23:20:49,nginx-basic-76dd66bf4f-2rgdj,9,15Mi,9.00,5
2025-04-15 23:20:49,nginx-basic-76dd66bf4f-h6p26,7,15Mi,7.00,5
2025-04-15 23:20:49,nginx-basic-76dd66bf4f-n4dgm,72,17Mi,72.00,5
2025-04-15 23:20:49,nginx-basic-76dd66bf4f-sd6cl,8,15Mi,8.00,5
2025-04-15 23:20:49,nginx-basic-76dd66bf4f-x6gfp,0,15Mi,0,5
2025-04-15 23:20:59,nginx-basic-76dd66bf4f-2rgdj,9,15Mi,9.00,5
2025-04-15 23:20:59,nginx-basic-76dd66bf4f-h6p26,7,15Mi,7.00,5
2025-04-15 23:20:59,nginx-basic-76dd66bf4f-n4dgm,72,17Mi,72.00,5
2025-04-15 23:20:59,nginx-basic-76dd66bf4f-sd6cl,8,15Mi,8.00,5
2025-04-15 23:20:59,nginx-basic-76dd66bf4f-x6gfp,0,15Mi,0,5
2025-04-15 23:21:09,nginx-basic-76dd66bf4f-2rgdj,8,15Mi,8.00,5
2025-04-15 23:21:09,nginx-basic-76dd66bf4f-h6p26,7,15Mi,7.00,5
2025-04-15 23:21:09,nginx-basic-76dd66bf4f-n4dgm,71,17Mi,71.00,5
2025-04-15 23:21:09,nginx-basic-76dd66bf4f-sd6cl,7,15Mi,7.00,5
2025-04-15 23:21:09,nginx-basic-76dd66bf4f-x6gfp,0,15Mi,0,5
2025-04-15 23:21:20,nginx-basic-76dd66bf4f-2rgdj,8,15Mi,8.00,5
2025-04-15 23:21:20,nginx-basic-76dd66bf4f-h6p26,7,15Mi,7.00,5
2025-04-15 23:21:20,nginx-basic-76dd66bf4f-n4dgm,76,16Mi,76.00,5
2025-04-15 23:21:20,nginx-basic-76dd66bf4f-sd6cl,7,16Mi,7.00,5
2025-04-15 23:21:20,nginx-basic-76dd66bf4f-x6gfp,0,15Mi,0,5
2025-04-15 23:21:30,nginx-basic-76dd66bf4f-2rgdj,8,15Mi,8.00,5
2025-04-15 23:21:30,nginx-basic-76dd66bf4f-h6p26,7,15Mi,7.00,5
2025-04-15 23:21:30,nginx-basic-76dd66bf4f-n4dgm,76,16Mi,76.00,5
2025-04-15 23:21:30,nginx-basic-76dd66bf4f-sd6cl,7,16Mi,7.00,5
2025-04-15 23:21:30,nginx-basic-76dd66bf4f-x6gfp,0,15Mi,0,5
2025-04-15 23:21:40,nginx-basic-76dd66bf4f-2rgdj,9,15Mi,9.00,5
2025-04-15 23:21:40,nginx-basic-76dd66bf4f-h6p26,7,15Mi,7.00,5
2025-04-15 23:21:40,nginx-basic-76dd66bf4f-n4dgm,77,16Mi,77.00,5
2025-04-15 23:21:40,nginx-basic-76dd66bf4f-sd6cl,8,15Mi,8.00,5
2025-04-15 23:21:40,nginx-basic-76dd66bf4f-x6gfp,0,15Mi,0,5
2025-04-15 23:21:50,nginx-basic-76dd66bf4f-2rgdj,9,15Mi,9.00,5
2025-04-15 23:21:50,nginx-basic-76dd66bf4f-h6p26,7,15Mi,7.00,5
2025-04-15 23:21:50,nginx-basic-76dd66bf4f-n4dgm,80,16Mi,80.00,5
2025-04-15 23:21:50,nginx-basic-76dd66bf4f-sd6cl,8,15Mi,8.00,5
2025-04-15 23:21:50,nginx-basic-76dd66bf4f-x6gfp,0,15Mi,0,5
2025-04-15 23:22:01,nginx-basic-76dd66bf4f-2rgdj,9,15Mi,9.00,5
2025-04-15 23:22:01,nginx-basic-76dd66bf4f-h6p26,7,15Mi,7.00,5
2025-04-15 23:22:01,nginx-basic-76dd66bf4f-n4dgm,80,16Mi,80.00,5
2025-04-15 23:22:01,nginx-basic-76dd66bf4f-sd6cl,8,15Mi,8.00,5
2025-04-15 23:22:01,nginx-basic-76dd66bf4f-x6gfp,0,15Mi,0,5
2025-04-15 23:22:11,nginx-basic-76dd66bf4f-2rgdj,9,15Mi,9.00,5
2025-04-15 23:22:11,nginx-basic-76dd66bf4f-h6p26,7,15Mi,7.00,5
2025-04-15 23:22:11,nginx-basic-76dd66bf4f-n4dgm,79,16Mi,79.00,5
2025-04-15 23:22:11,nginx-basic-76dd66bf4f-sd6cl,8,15Mi,8.00,5
2025-04-15 23:22:11,nginx-basic-76dd66bf4f-x6gfp,0,15Mi,0,5
2025-04-15 23:22:21,nginx-basic-76dd66bf4f-2rgdj,3,15Mi,3.00,5
2025-04-15 23:22:21,nginx-basic-76dd66bf4f-h6p26,2,15Mi,2.00,5
2025-04-15 23:22:21,nginx-basic-76dd66bf4f-n4dgm,67,16Mi,67.00,5
2025-04-15 23:22:21,nginx-basic-76dd66bf4f-sd6cl,3,15Mi,3.00,5
2025-04-15 23:22:21,nginx-basic-76dd66bf4f-x6gfp,0,15Mi,0,5
2025-04-15 23:22:31,nginx-basic-76dd66bf4f-2rgdj,3,15Mi,3.00,5
2025-04-15 23:22:31,nginx-basic-76dd66bf4f-h6p26,2,15Mi,2.00,5
2025-04-15 23:22:31,nginx-basic-76dd66bf4f-n4dgm,67,16Mi,67.00,5
2025-04-15 23:22:31,nginx-basic-76dd66bf4f-sd6cl,3,15Mi,3.00,5
2025-04-15 23:22:31,nginx-basic-76dd66bf4f-x6gfp,0,15Mi,0,5
2025-04-15 23:22:42,nginx-basic-76dd66bf4f-2rgdj,0,15Mi,0,5
2025-04-15 23:22:42,nginx-basic-76dd66bf4f-h6p26,0,15Mi,0,5
2025-04-15 23:22:42,nginx-basic-76dd66bf4f-n4dgm,26,16Mi,26.00,5
2025-04-15 23:22:42,nginx-basic-76dd66bf4f-sd6cl,0,15Mi,0,5
2025-04-15 23:22:42,nginx-basic-76dd66bf4f-x6gfp,0,15Mi,0,5
2025-04-15 23:22:52,nginx-basic-76dd66bf4f-2rgdj,1,15Mi,1.00,5
2025-04-15 23:22:52,nginx-basic-76dd66bf4f-h6p26,1,15Mi,1.00,5
2025-04-15 23:22:52,nginx-basic-76dd66bf4f-n4dgm,1,16Mi,1.00,5
2025-04-15 23:22:52,nginx-basic-76dd66bf4f-sd6cl,1,15Mi,1.00,5
2025-04-15 23:22:52,nginx-basic-76dd66bf4f-x6gfp,0,15Mi,0,5
2025-04-15 23:23:02,nginx-basic-76dd66bf4f-2rgdj,0,15Mi,0,5
2025-04-15 23:23:02,nginx-basic-76dd66bf4f-h6p26,0,15Mi,0,5
2025-04-15 23:23:02,nginx-basic-76dd66bf4f-n4dgm,0,16Mi,0,5
2025-04-15 23:23:02,nginx-basic-76dd66bf4f-sd6cl,0,15Mi,0,5
2025-04-15 23:23:02,nginx-basic-76dd66bf4f-x6gfp,0,15Mi,0,5
