timestamp,pod,cpu(millicores),memory(bytes),%cpu,num_pods
2025-04-22 22:45:11,nginx-basic-76dd66bf4f-h8xwc,0,15Mi,0,1
2025-04-22 22:45:21,nginx-basic-76dd66bf4f-h8xwc,1,15Mi,1.00,1
2025-04-22 22:45:31,nginx-basic-76dd66bf4f-h8xwc,1,15Mi,1.00,1
2025-04-22 22:45:41,nginx-basic-76dd66bf4f-h8xwc,1,15Mi,1.00,1
2025-04-22 22:45:51,nginx-basic-76dd66bf4f-h8xwc,1,15Mi,1.00,1
2025-04-22 22:46:02,nginx-basic-76dd66bf4f-h8xwc,1,15Mi,1.00,1
2025-04-22 22:46:12,nginx-basic-76dd66bf4f-h8xwc,1,15Mi,1.00,1
2025-04-22 22:46:22,nginx-basic-76dd66bf4f-h8xwc,3,16Mi,3.00,1
2025-04-22 22:46:32,nginx-basic-76dd66bf4f-h8xwc,3,16Mi,3.00,1
2025-04-22 22:46:42,nginx-basic-76dd66bf4f-h8xwc,8,16Mi,8.00,1
2025-04-22 22:46:52,nginx-basic-76dd66bf4f-h8xwc,13,16Mi,13.00,1
2025-04-22 22:47:02,nginx-basic-76dd66bf4f-h8xwc,13,16Mi,13.00,1
2025-04-22 22:47:12,nginx-basic-76dd66bf4f-h8xwc,17,16Mi,17.00,1
2025-04-22 22:47:23,nginx-basic-76dd66bf4f-h8xwc,22,16Mi,22.00,1
2025-04-22 22:47:33,nginx-basic-76dd66bf4f-h8xwc,22,16Mi,22.00,1
2025-04-22 22:47:43,nginx-basic-76dd66bf4f-h8xwc,26,16Mi,26.00,1
2025-04-22 22:47:53,nginx-basic-76dd66bf4f-h8xwc,31,16Mi,31.00,1
2025-04-22 22:48:03,nginx-basic-76dd66bf4f-h8xwc,31,16Mi,31.00,1
2025-04-22 22:48:13,nginx-basic-76dd66bf4f-h8xwc,36,16Mi,36.00,1
2025-04-22 22:48:23,nginx-basic-76dd66bf4f-h8xwc,41,16Mi,41.00,1
2025-04-22 22:48:33,nginx-basic-76dd66bf4f-h8xwc,41,16Mi,41.00,1
2025-04-22 22:48:44,nginx-basic-76dd66bf4f-h8xwc,46,16Mi,46.00,1
2025-04-22 22:48:54,nginx-basic-76dd66bf4f-h8xwc,52,16Mi,52.00,1
2025-04-22 22:49:04,nginx-basic-76dd66bf4f-h8xwc,52,16Mi,52.00,1
2025-04-22 22:49:14,nginx-basic-76dd66bf4f-h8xwc,55,16Mi,55.00,1
2025-04-22 22:49:24,nginx-basic-76dd66bf4f-h8xwc,61,16Mi,61.00,1
2025-04-22 22:49:34,nginx-basic-76dd66bf4f-h8xwc,61,16Mi,61.00,1
2025-04-22 22:49:44,nginx-basic-76dd66bf4f-h8xwc,63,16Mi,63.00,1
2025-04-22 22:49:54,nginx-basic-76dd66bf4f-h8xwc,69,17Mi,69.00,1
2025-04-22 22:50:04,nginx-basic-76dd66bf4f-h8xwc,69,17Mi,69.00,1
2025-04-22 22:50:15,nginx-basic-76dd66bf4f-h8xwc,70,16Mi,70.00,1
2025-04-22 22:50:25,nginx-basic-76dd66bf4f-h8xwc,76,16Mi,76.00,1
2025-04-22 22:50:35,nginx-basic-76dd66bf4f-h8xwc,83,16Mi,83.00,1
2025-04-22 22:50:45,nginx-basic-76dd66bf4f-h8xwc,83,16Mi,83.00,1
2025-04-22 22:50:55,nginx-basic-76dd66bf4f-h8xwc,88,16Mi,88.00,1
2025-04-22 22:51:05,nginx-basic-76dd66bf4f-h8xwc,95,16Mi,95.00,1
2025-04-22 22:51:15,nginx-basic-76dd66bf4f-h8xwc,95,16Mi,95.00,1
2025-04-22 22:51:26,nginx-basic-76dd66bf4f-h8xwc,98,17Mi,98.00,1
2025-04-22 22:51:36,nginx-basic-76dd66bf4f-h8xwc,105,16Mi,105.00,1
2025-04-22 22:51:46,nginx-basic-76dd66bf4f-h8xwc,105,16Mi,105.00,1
2025-04-22 22:51:56,nginx-basic-76dd66bf4f-h8xwc,111,17Mi,111.00,2
2025-04-22 22:52:06,nginx-basic-76dd66bf4f-h8xwc,111,17Mi,111.00,2
2025-04-22 22:52:16,nginx-basic-76dd66bf4f-h8xwc,111,17Mi,111.00,2
2025-04-22 22:52:27,nginx-basic-76dd66bf4f-h8xwc,104,17Mi,104.00,2
2025-04-22 22:52:27,nginx-basic-76dd66bf4f-v2x8m,1,15Mi,1.00,2
2025-04-22 22:52:37,nginx-basic-76dd66bf4f-h8xwc,75,16Mi,75.00,2
2025-04-22 22:52:37,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:52:47,nginx-basic-76dd66bf4f-h8xwc,75,16Mi,75.00,2
2025-04-22 22:52:47,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:52:57,nginx-basic-76dd66bf4f-h8xwc,43,16Mi,43.00,2
2025-04-22 22:52:57,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:53:07,nginx-basic-76dd66bf4f-h8xwc,16,16Mi,16.00,2
2025-04-22 22:53:07,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:53:17,nginx-basic-76dd66bf4f-h8xwc,16,16Mi,16.00,2
2025-04-22 22:53:17,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:53:28,nginx-basic-76dd66bf4f-h8xwc,1,16Mi,1.00,2
2025-04-22 22:53:28,nginx-basic-76dd66bf4f-v2x8m,1,15Mi,1.00,2
2025-04-22 22:53:38,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:53:38,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:53:48,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:53:48,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:53:58,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:53:58,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:54:09,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:54:09,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:54:19,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:54:19,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:54:29,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:54:29,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:54:39,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:54:39,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:54:49,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:54:49,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:54:59,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:54:59,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:55:10,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:55:10,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:55:20,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:55:20,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:55:30,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:55:30,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:55:40,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:55:40,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:55:50,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:55:50,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:56:00,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:56:00,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:56:10,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:56:10,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:56:21,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:56:21,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:56:31,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:56:31,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:56:41,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:56:41,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:56:51,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:56:51,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:57:02,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:57:02,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:57:12,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:57:12,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:57:22,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,2
2025-04-22 22:57:22,nginx-basic-76dd66bf4f-v2x8m,0,15Mi,0,2
2025-04-22 22:57:32,nginx-basic-76dd66bf4f-h8xwc,0,16Mi,0,1
