timestamp,pod,cpu(millicores),memory(bytes),%cpu,num_pods
2025-04-15 22:38:05,nginx-basic-76dd66bf4f-r6k9w,0,15Mi,0,1
2025-04-15 22:38:15,nginx-basic-76dd66bf4f-r6k9w,0,15Mi,0,1
2025-04-15 22:38:25,nginx-basic-76dd66bf4f-r6k9w,3,16Mi,3.00,1
2025-04-15 22:38:35,nginx-basic-76dd66bf4f-r6k9w,18,16Mi,18.00,1
2025-04-15 22:38:45,nginx-basic-76dd66bf4f-r6k9w,18,16Mi,18.00,1
2025-04-15 22:38:56,nginx-basic-76dd66bf4f-r6k9w,30,16Mi,30.00,1
2025-04-15 22:39:06,nginx-basic-76dd66bf4f-r6k9w,46,17Mi,46.00,1
2025-04-15 22:39:16,nginx-basic-76dd66bf4f-r6k9w,46,17Mi,46.00,1
2025-04-15 22:39:26,nginx-basic-76dd66bf4f-r6k9w,64,16Mi,64.00,1
2025-04-15 22:39:36,nginx-basic-76dd66bf4f-r6k9w,58,17Mi,58.00,1
2025-04-15 22:39:46,nginx-basic-76dd66bf4f-r6k9w,58,17Mi,58.00,1
2025-04-15 22:39:56,nginx-basic-76dd66bf4f-r6k9w,36,16Mi,36.00,1
2025-04-15 22:40:06,nginx-basic-76dd66bf4f-r6k9w,46,16Mi,46.00,1
2025-04-15 22:40:16,nginx-basic-76dd66bf4f-r6k9w,46,16Mi,46.00,1
2025-04-15 22:40:27,nginx-basic-76dd66bf4f-r6k9w,60,17Mi,60.00,1
2025-04-15 22:40:37,nginx-basic-76dd66bf4f-r6k9w,72,16Mi,72.00,1
2025-04-15 22:40:47,nginx-basic-76dd66bf4f-r6k9w,72,16Mi,72.00,1
2025-04-15 22:40:57,nginx-basic-76dd66bf4f-r6k9w,64,16Mi,64.00,1
2025-04-15 22:41:07,nginx-basic-76dd66bf4f-r6k9w,60,17Mi,60.00,1
2025-04-15 22:41:17,nginx-basic-76dd66bf4f-r6k9w,50,16Mi,50.00,1
2025-04-15 22:41:27,nginx-basic-76dd66bf4f-r6k9w,50,16Mi,50.00,1
2025-04-15 22:41:37,nginx-basic-76dd66bf4f-r6k9w,35,16Mi,35.00,1
2025-04-15 22:41:47,nginx-basic-76dd66bf4f-r6k9w,26,17Mi,26.00,1
2025-04-15 22:41:58,nginx-basic-76dd66bf4f-r6k9w,26,17Mi,26.00,1
2025-04-15 22:42:08,nginx-basic-76dd66bf4f-r6k9w,14,16Mi,14.00,1
2025-04-15 22:42:18,nginx-basic-76dd66bf4f-r6k9w,3,16Mi,3.00,1
2025-04-15 22:42:28,nginx-basic-76dd66bf4f-r6k9w,3,16Mi,3.00,1
2025-04-15 22:42:38,nginx-basic-76dd66bf4f-r6k9w,0,16Mi,0,1
