timestamp,pod,cpu(millicores),memory(bytes),%cpu,num_pods
2025-04-15 21:46:07,nginx-basic-76dd66bf4f-cjg8r,2,15Mi,2.00,1
2025-04-15 21:46:17,nginx-basic-76dd66bf4f-cjg8r,1,15Mi,1.00,1
2025-04-15 21:46:27,nginx-basic-76dd66bf4f-cjg8r,1,15Mi,1.00,1
2025-04-15 21:46:37,nginx-basic-76dd66bf4f-cjg8r,1,15Mi,1.00,1
2025-04-15 21:46:47,nginx-basic-76dd66bf4f-cjg8r,4,16Mi,4.00,1
2025-04-15 21:46:58,nginx-basic-76dd66bf4f-cjg8r,4,16Mi,4.00,1
2025-04-15 21:47:08,nginx-basic-76dd66bf4f-cjg8r,33,16Mi,33.00,1
2025-04-15 21:47:18,nginx-basic-76dd66bf4f-cjg8r,72,16Mi,72.00,1
2025-04-15 21:47:28,nginx-basic-76dd66bf4f-cjg8r,72,16Mi,72.00,1
2025-04-15 21:47:38,nginx-basic-76dd66bf4f-cjg8r,83,17Mi,83.00,1
2025-04-15 21:47:48,nginx-basic-76dd66bf4f-cjg8r,90,16Mi,90.00,1
2025-04-15 21:47:58,nginx-basic-76dd66bf4f-cjg8r,90,16Mi,90.00,1
2025-04-15 21:48:08,nginx-basic-76dd66bf4f-cjg8r,95,17Mi,95.00,1
2025-04-15 21:48:18,nginx-basic-76dd66bf4f-cjg8r,86,16Mi,86.00,1
2025-04-15 21:48:29,nginx-basic-76dd66bf4f-cjg8r,86,16Mi,86.00,1
2025-04-15 21:48:39,nginx-basic-76dd66bf4f-cjg8r,89,16Mi,89.00,1
2025-04-15 21:48:49,nginx-basic-76dd66bf4f-cjg8r,92,17Mi,92.00,1
2025-04-15 21:48:59,nginx-basic-76dd66bf4f-cjg8r,92,17Mi,92.00,1
2025-04-15 21:49:09,nginx-basic-76dd66bf4f-cjg8r,95,17Mi,95.00,1
2025-04-15 21:49:19,nginx-basic-76dd66bf4f-cjg8r,97,17Mi,97.00,1
2025-04-15 21:49:29,nginx-basic-76dd66bf4f-cjg8r,97,17Mi,97.00,1
2025-04-15 21:49:39,nginx-basic-76dd66bf4f-cjg8r,58,17Mi,58.00,1
2025-04-15 21:49:49,nginx-basic-76dd66bf4f-cjg8r,13,16Mi,13.00,1
2025-04-15 21:50:00,nginx-basic-76dd66bf4f-cjg8r,13,16Mi,13.00,1
2025-04-15 21:50:10,nginx-basic-76dd66bf4f-cjg8r,0,16Mi,0,1
