timestamp,pod,cpu(millicores),memory(bytes),%cpu,num_pods
2025-04-22 15:00:28,nginx-basic-76dd66bf4f-fs2zd,3,15Mi,3.00,1
2025-04-22 15:00:38,nginx-basic-76dd66bf4f-fs2zd,1,15Mi,1.00,1
2025-04-22 15:00:48,nginx-basic-76dd66bf4f-fs2zd,1,15Mi,1.00,1
2025-04-22 15:00:58,nginx-basic-76dd66bf4f-fs2zd,1,15Mi,1.00,1
2025-04-22 15:01:08,nginx-basic-76dd66bf4f-fs2zd,1,15Mi,1.00,1
2025-04-22 15:01:18,nginx-basic-76dd66bf4f-fs2zd,1,15Mi,1.00,1
2025-04-22 15:01:28,nginx-basic-76dd66bf4f-fs2zd,2,15Mi,2.00,1
2025-04-22 15:01:38,nginx-basic-76dd66bf4f-fs2zd,2,15Mi,2.00,1
2025-04-22 15:01:49,nginx-basic-76dd66bf4f-fs2zd,2,15Mi,2.00,1
2025-04-22 15:01:59,nginx-basic-76dd66bf4f-fs2zd,3,15Mi,3.00,1
2025-04-22 15:02:09,nginx-basic-76dd66bf4f-fs2zd,3,15Mi,3.00,1
2025-04-22 15:02:19,nginx-basic-76dd66bf4f-fs2zd,3,15Mi,3.00,1
2025-04-22 15:02:29,nginx-basic-76dd66bf4f-fs2zd,4,15Mi,4.00,1
2025-04-22 15:02:39,nginx-basic-76dd66bf4f-fs2zd,4,15Mi,4.00,1
2025-04-22 15:02:49,nginx-basic-76dd66bf4f-fs2zd,4,15Mi,4.00,1
2025-04-22 15:02:59,nginx-basic-76dd66bf4f-fs2zd,4,15Mi,4.00,1
2025-04-22 15:03:10,nginx-basic-76dd66bf4f-fs2zd,5,15Mi,5.00,1
2025-04-22 15:03:20,nginx-basic-76dd66bf4f-fs2zd,5,15Mi,5.00,1
2025-04-22 15:03:30,nginx-basic-76dd66bf4f-fs2zd,5,15Mi,5.00,1
2025-04-22 15:03:40,nginx-basic-76dd66bf4f-fs2zd,5,15Mi,5.00,1
2025-04-22 15:03:50,nginx-basic-76dd66bf4f-fs2zd,6,15Mi,6.00,1
2025-04-22 15:04:00,nginx-basic-76dd66bf4f-fs2zd,6,15Mi,6.00,1
2025-04-22 15:04:10,nginx-basic-76dd66bf4f-fs2zd,6,15Mi,6.00,1
2025-04-22 15:04:20,nginx-basic-76dd66bf4f-fs2zd,6,15Mi,6.00,1
2025-04-22 15:04:30,nginx-basic-76dd66bf4f-fs2zd,6,15Mi,6.00,1
2025-04-22 15:04:41,nginx-basic-76dd66bf4f-fs2zd,6,16Mi,6.00,1
2025-04-22 15:04:51,nginx-basic-76dd66bf4f-fs2zd,7,16Mi,7.00,1
2025-04-22 15:05:01,nginx-basic-76dd66bf4f-fs2zd,7,16Mi,7.00,1
2025-04-22 15:05:11,nginx-basic-76dd66bf4f-fs2zd,7,15Mi,7.00,1
2025-04-22 15:05:21,nginx-basic-76dd66bf4f-fs2zd,7,15Mi,7.00,1
2025-04-22 15:05:31,nginx-basic-76dd66bf4f-fs2zd,7,15Mi,7.00,1
2025-04-22 15:05:41,nginx-basic-76dd66bf4f-fs2zd,8,15Mi,8.00,1
2025-04-22 15:05:51,nginx-basic-76dd66bf4f-fs2zd,8,16Mi,8.00,1
2025-04-22 15:06:02,nginx-basic-76dd66bf4f-fs2zd,8,16Mi,8.00,1
2025-04-22 15:06:12,nginx-basic-76dd66bf4f-fs2zd,7,16Mi,7.00,1
2025-04-22 15:06:22,nginx-basic-76dd66bf4f-fs2zd,6,16Mi,6.00,1
2025-04-22 15:06:32,nginx-basic-76dd66bf4f-fs2zd,6,16Mi,6.00,1
2025-04-22 15:06:42,nginx-basic-76dd66bf4f-fs2zd,5,15Mi,5.00,1
2025-04-22 15:06:52,nginx-basic-76dd66bf4f-fs2zd,4,15Mi,4.00,1
2025-04-22 15:07:02,nginx-basic-76dd66bf4f-fs2zd,4,15Mi,4.00,1
2025-04-22 15:07:12,nginx-basic-76dd66bf4f-fs2zd,3,15Mi,3.00,1
2025-04-22 15:07:23,nginx-basic-76dd66bf4f-fs2zd,2,16Mi,2.00,1
2025-04-22 15:07:33,nginx-basic-76dd66bf4f-fs2zd,2,16Mi,2.00,1
2025-04-22 15:07:43,nginx-basic-76dd66bf4f-fs2zd,1,15Mi,1.00,1
2025-04-22 15:07:53,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:08:03,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:08:13,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:08:23,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:08:33,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:08:44,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:08:54,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:09:04,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:09:14,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:09:24,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:09:34,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:09:44,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:09:54,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:10:04,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:10:15,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:10:25,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:10:35,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:10:45,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:10:55,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:11:05,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:11:15,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:11:25,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:11:36,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:11:46,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:11:56,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:12:06,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:12:16,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:12:26,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:12:36,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:12:46,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:12:57,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:13:07,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:13:17,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:13:27,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:13:37,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:13:47,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:13:57,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:14:07,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:14:18,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:14:28,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:14:38,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:14:48,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:14:58,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:15:08,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:15:18,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:15:28,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:15:38,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:15:49,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:15:59,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:16:09,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:16:19,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:16:29,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:16:39,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:16:49,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:16:59,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:17:10,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:17:20,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
2025-04-22 15:17:30,nginx-basic-76dd66bf4f-fs2zd,0,15Mi,0,1
